Date,Symbol,Adj. Close,Adj. Volume
11/30/2017,GOOG,1021.41,1684292
12/1/2017,GOOG,1010.17,1895786
12/4/2017,GOOG,998.68,1891408
12/5/2017,GOOG,1005.15,2023376
12/6/2017,GOOG,1018.38,1254837
12/7/2017,GOOG,1030.93,1387107
12/8/2017,GOOG,1037.05,1277894
12/11/2017,GOOG,1041.1,1119052
12/12/2017,GOOG,1040.48,1269883
12/13/2017,GOOG,1040.61,1207286
12/14/2017,GOOG,1049.15,1545616
12/15/2017,GOOG,1064.19,3142760
12/18/2017,GOOG,1077.14,1531522
12/19/2017,GOOG,1070.68,1254615
12/20/2017,GOOG,1064.95,1266115
12/21/2017,GOOG,1063.63,974594
12/22/2017,GOOG,1060.12,734566
12/26/2017,GOOG,1056.74,756324
12/27/2017,GOOG,1049.37,1214775
12/28/2017,GOOG,1048.14,829623
12/29/2017,GOOG,1046.4,867943
1/2/2018,GOOG,1065,1223114
1/3/2018,GOOG,1082.48,1416093
1/4/2018,GOOG,1086.4,990510
1/5/2018,GOOG,1102.23,1210974
1/8/2018,GOOG,1106.94,1003098
1/9/2018,GOOG,1106.26,897400
1/10/2018,GOOG,1102.61,1038917
1/11/2018,GOOG,1105.52,962696
1/12/2018,GOOG,1122.26,1701377
1/16/2018,GOOG,1121.76,1539230
1/17/2018,GOOG,1131.98,1146089
1/18/2018,GOOG,1129.79,1148920
1/19/2018,GOOG,1137.51,1361390
1/22/2018,GOOG,1155.81,1582504
1/23/2018,GOOG,1169.97,1199326
1/24/2018,GOOG,1164.24,1351237
1/25/2018,GOOG,1170.37,1326436
1/26/2018,GOOG,1175.84,1825680
1/29/2018,GOOG,1175.58,1299218
1/30/2018,GOOG,1163.69,1400132
1/31/2018,GOOG,1169.94,1486793
2/1/2018,GOOG,1167.7,1974700
2/2/2018,GOOG,1111.9,4758496
2/5/2018,GOOG,1064.35,3336352
2/6/2018,GOOG,1080.6,3360727
2/7/2018,GOOG,1048.58,2331374
2/8/2018,GOOG,1001,2720942
2/9/2018,GOOG,1035.88,3267883
2/12/2018,GOOG,1051.94,2038875
2/13/2018,GOOG,1052.1,1209341
2/14/2018,GOOG,1069.7,1515444
2/15/2018,GOOG,1089.52,1777694
2/16/2018,GOOG,1094.8,1664969
2/20/2018,GOOG,1102.46,1381603
2/21/2018,GOOG,1111.34,1493162
2/22/2018,GOOG,1106.63,1306276
2/23/2018,GOOG,1126.79,1158377
2/26/2018,GOOG,1143.75,1492380
2/27/2018,GOOG,1118.29,1741578
2/28/2018,GOOG,1104.73,1858051
3/1/2018,GOOG,1069.52,2515910
3/2/2018,GOOG,1078.92,2271551
3/5/2018,GOOG,1090.93,1202174
3/6/2018,GOOG,1095.06,1532783
3/7/2018,GOOG,1109.64,1292537
3/8/2018,GOOG,1126,1240299
3/9/2018,GOOG,1160.04,2074952
3/12/2018,GOOG,1164.5,2076306
3/13/2018,GOOG,1138.17,1808098
3/14/2018,GOOG,1149.49,1192615
3/15/2018,GOOG,1149.58,1392521
3/16/2018,GOOG,1135.73,2560277
3/19/2018,GOOG,1099.82,2339506
3/20/2018,GOOG,1097.71,1783872
3/21/2018,GOOG,1090.88,1640709
3/22/2018,GOOG,1049.08,2580374
3/23/2018,GOOG,1021.57,2113497
3/26/2018,GOOG,1053.21,2558385
3/27/2018,GOOG,1005.1,3029471
9/19/2017,INTC,36.79850724,21823446
9/20/2017,INTC,36.64036162,23127098
9/21/2017,INTC,36.76885493,20175216
9/22/2017,INTC,36.74908673,20928369
9/25/2017,INTC,36.72931853,22158905
9/26/2017,INTC,37.03572566,29198356
9/27/2017,INTC,37.10491436,25457387
9/28/2017,INTC,37.39155328,20601061
9/29/2017,INTC,37.6386558,22617651
10/2/2017,INTC,38.58752948,36985170
10/3/2017,INTC,38.92358891,33266885
10/4/2017,INTC,38.8840525,27900633
10/5/2017,INTC,39.07185042,17588371
10/6/2017,INTC,39.17069143,18063051
10/9/2017,INTC,39.39802574,18372360
10/10/2017,INTC,39.19045963,29838331
10/11/2017,INTC,38.8445161,30452182
10/12/2017,INTC,38.73579099,18236204
10/13/2017,INTC,39.21022783,16611521
10/16/2017,INTC,39.29918474,12448746
10/17/2017,INTC,39.32883704,15300505
10/18/2017,INTC,39.78350567,20592939
